focus,question_type,question,answer
Diabetes,general,What to do for Diabetic Neuropathies: The Nerve Damage of Diabetes ?,"- Diabetic neuropathies are nerve disorders caused by many of the abnormalities common to diabetes, such as high blood glucose.  - Neuropathy can affect nerves throughout the body, causing numbness and sometimes pain in the hands, arms, feet, or legs, and problems with the digestive tract, heart, sex organs, and other body systems.  - Treatment first involves bringing blood glucose levels within the normal range. Good blood glucose control may help prevent or delay the onset of further problems.  - Foot care is an important part of treatment. People with neuropathy need to inspect their feet daily for any injuries. Untreated injuries increase the risk of infected foot sores and amputation.  - Treatment also includes pain relief and other medications as needed, depending on the type of nerve damage.  - Smoking increases the risk of foot problems and amputation. A health care provider may be able to provide help with quitting."
Diabetes,information,What is (are) Diagnosis of Diabetes and Prediabetes ?,"Diabetes is a complex group of diseases with a variety of causes. People with diabetes have high blood glucose, also called high blood sugar or hyperglycemia.
                
Diabetes is a disorder of metabolismthe way the body uses digested food for energy. The digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose, a form of sugar that enters the bloodstream. With the help of the hormone insulin, cells throughout the body absorb glucose and use it for energy. Insulin is made in the pancreas, an organ located behind the stomach. As the blood glucose level rises after a meal, the pancreas is triggered to release insulin. Within the pancreas, clusters of cells called islets contain beta cells, which make the insulin and release it into the blood.
                
Diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. As a result, glucose builds up in the blood instead of being absorbed by cells in the body. The bodys cells are then starved of energy despite high blood glucose levels.
                
Over time, high blood glucose damages nerves and blood vessels, leading to complications such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. Other complications of diabetes may include increased susceptibility to other diseases, loss of mobility with aging, depression, and pregnancy problems.
                
Main Types of Diabetes
                
The three main types of diabetes are type 1, type 2, and gestational diabetes:
                
- Type 1 diabetes, formerly called juvenile diabetes, is usually first diagnosed in children, teenagers, and young adults. In this type of diabetes, the beta cells of the pancreas no longer make insulin because the bodys immune system has attacked and destroyed them.  - Type 2 diabetes, formerly called adult-onset diabetes, is the most common type of diabetes. About 90 to 95 percent of people with diabetes have type 2.1 People can develop type 2 diabetes at any age, even during childhood, but this type of diabetes is most often associated with older age. Type 2 diabetes is also associated with excess weight, physical inactivity, family history of diabetes, previous history of gestational diabetes, and certain ethnicities.   Type 2 diabetes usually begins with insulin resistance, a condition linked to excess weight in which muscle, liver, and fat cells do not use insulin properly. As a result, the body needs more insulin to help glucose enter cells to be used for energy. At first, the pancreas keeps up with the added demand by producing more insulin. But in time, the pancreas loses its ability to produce enough insulin in response to meals, and blood glucose levels rise.  - Gestational diabetes is a type of diabetes that develops only during pregnancy.  The hormones produced during pregnancy increase the amount of insulin needed to control blood glucose levels. If the body cant meet this increased need for insulin, women can develop gestational diabetes during the late stages of pregnancy.  Gestational diabetes usually goes away after the baby is born. Shortly after pregnancy, 5 to 10 percent of women with gestational diabetes continue to have high blood glucose levels and are diagnosed as having diabetes, usually type 2.1 Research has shown that lifestyle changes and the diabetes medication, metformin, can reduce or delay the risk of type 2 diabetes in these women. Babies born to mothers who had gestational diabetes are also more likely to develop obesity and type 2 diabetes as they grow up.  More information about gestational diabetes is provided in the NIDDK health topic, What I need to know about Gestational Diabetes,or by calling 18008608747.
                
Other Types of Diabetes
                
Many other types of diabetes exist, and a person can exhibit characteristics of more than one type. For example, in latent autoimmune diabetes in adults, people show signs of both type 1 and type 2 diabetes. Other types of diabetes include those caused by genetic defects, diseases of the pancreas, excess amounts of certain hormones resulting from some medical conditions, medications that reduce insulin action, chemicals that destroy beta cells, infections, rare autoimmune disorders, and genetic syndromes associated with diabetes.
                
More information about other types of diabetes is provided in the NIDDK health topic, Causes of Diabetes, or by calling 18008608747."
Diabetes,general,How to diagnose Diagnosis of Diabetes and Prediabetes ?,"Blood tests are used to diagnosis diabetes and prediabetes because early in the disease type 2 diabetes may have no symptoms. All diabetes blood tests involve drawing blood at a health care providers office or commercial facility and sending the sample to a lab for analysis. Lab analysis of blood is needed to ensure test results are accurate. Glucose measuring devices used in a health care providers office, such as finger-stick devices, are not accurate enough for diagnosis but may be used as a quick indicator of high blood glucose.
                
Testing enables health care providers to find and treat diabetes before complications occur and to find and treat prediabetes, which can delay or prevent type 2 diabetes from developing.
                
Any one of the following tests can be used for diagnosis:*
                
- an A1C test, also called the hemoglobin A1c, HbA1c, or glycohemoglobin test  - a fasting plasma glucose (FPG) test  - an oral glucose tolerance test (OGTT)
                
*Not all tests are recommended for diagnosing all types of diabetes. See the individual test descriptions for details.
                
Another blood test, the random plasma glucose (RPG) test, is sometimes used to diagnose diabetes during a regular health checkup. If the RPG measures 200 milligrams per deciliter or above, and the individual also shows symptoms of diabetes, then a health care provider may diagnose diabetes.
                
Symptoms of diabetes include
                
- increased urination  - increased thirst  - unexplained weight loss
                
Other symptoms can include fatigue, blurred vision, increased hunger, and sores that do not heal.
                
Any test used to diagnose diabetes requires confirmation with a second measurement unless clear symptoms of diabetes exist.
                
The following table provides the blood test levels for diagnosis of diabetes for nonpregnant adults and diagnosis of prediabetes.
                
A1C Test
                
The A1C test is used to detect type 2 diabetes and prediabetes but is not recommended for diagnosis of type 1 diabetes or gestational diabetes. The A1C test is a blood test that reflects the average of a persons blood glucose levels over the past 3 months and does not show daily fluctuations. The A1C test is more convenient for patients than the traditional glucose tests because it does not require fasting and can be performed at any time of the day.
                
The A1C test result is reported as a percentage. The higher the percentage, the higher a persons blood glucose levels have been. A normal A1C level is below 5.7 percent.
                
An A1C of 5.7 to 6.4 percent indicates prediabetes. People diagnosed with prediabetes may be retested in 1 year. People with an A1C below 5.7 percent maystill be at risk for diabetes, depending on the presence of other characteristics that put them at risk, also known as risk factors. People with an A1C above 6.0 percent should be considered at very high risk of developing diabetes. A level of 6.5 percent or above means a person has diabetes.
                
Laboratory analysis. When the A1C test is used for diagnosis, the blood sample must be sent to a laboratory using a method that is certified by the NGSP to ensure the results are standardized. Blood samples analyzed in a health care providers office, known as point-of-care tests, are not standardized for diagnosing diabetes.
                
Abnormal results. The A1C test can be unreliable for diagnosing or monitoring diabetes in people with certain conditions known to interfere with the results. Interference should be suspected when A1C results seem very different from the results of a blood glucose test. People of African, Mediterranean, or Southeast Asian descent or people with family members with sickle cell anemia or a thalassemia are particularly at risk of interference.
                
However, not all of the A1C tests are unreliable for people with these diseases. The NGSP provides information about which A1C tests are appropriate to use for specific types of interference and details on any problems with the A1C test at www.ngsp.org.
                
False A1C test results may also occur in people with other problems that affect their blood or hemoglobin such as chronic kidney disease, liver disease, or anemia.
                
More information about limitations of the A1C test and different forms of sickle cell anemia is provided in the NIDDK health topic, For People of African, Mediterranean, or Southeast Asian Heritage: Important Information about Diabetes Blood Tests, or by calling 18008608747.
                
Changes in Diagnostic Testing
                
In the past, the A1C test was used to monitor blood glucose levels but not for diagnosis. The A1C test has now been standardized, and in 2009, an international expert committee recommended it be used for diagnosis of type 2 diabetes and prediabetes.2
                
More information about the A1C test is provided in the NIDDK health topic, The A1C Test and Diabetes, or by calling 18008608747.
                
Fasting Plasma Glucose Test
                
The FPG test is used to detect diabetes and prediabetes. The FPG test has been the most common test used for diagnosing diabetes because it is more convenient than the OGTT and less expensive. The FPG test measures blood glucose in a person who has fasted for at least 8 hours and is most reliable when given in the morning.
                
People with a fasting glucose level of 100 to 125 mg/dL have impaired fasting glucose (IFG), or prediabetes. A level of 126 mg/dL or above, confirmed by repeating the test on another day, means a person has diabetes.
                
Oral Glucose Tolerance Test
                
The OGTT can be used to diagnose diabetes, prediabetes, and gestational diabetes. Research has shown that the OGTT is more sensitive than the FPG test, but it is less convenient to administer. When used to test for diabetes or prediabetes, the OGTT measures blood glucose after a person fasts for at least 8 hours and 2 hours after the person drinks a liquid containing 75 grams of glucose dissolved in water.
                
If the 2-hour blood glucose level is between 140 and 199 mg/dL, the person has a type of prediabetes called impaired glucose tolerance (IGT). If confirmed by a second test, a 2-hour glucose level of 200 mg/dL or above means a person has diabetes."
Diabetes,prevention,How to prevent Diagnosis of Diabetes and Prediabetes ?,"A major research study, the Diabetes Prevention Program (DPP), proved that people with prediabetes were able to sharply reduce their risk of developing diabetes during the study by losing 5 to 7 percent of their body weight through dietary changes and increased physical activity.
                
Study participants followed a low-fat, low-calorie diet and engaged in regular physical activity, such as walking briskly five times a week for 30 minutes. These strategies worked well for both men and women in all racial and ethnic groups, but were especially effective for participants age 60 and older. A follow-up study, the Diabetes Prevention Program Outcomes Study (DPPOS), showed losing weight and being physically active provide lasting results. Ten years after the DPP, modest weight loss delayed onset of type 2 diabetes by an average of 4 years.
                
The diabetes medication metformin also lowers the risk of type 2 diabetes in people with prediabetes, especially those who are younger and heavier and women who have had gestational diabetes. The DPPOS showed that metformin delayed type 2 diabetes by 2 years. People at high risk should ask their health care provider if they should take metformin to prevent type 2 diabetes. Metformin is a medication that makes insulin work better and can reduce the risk of type 2 diabetes.
                
More information about insulin resistance, the DPP, or how to lower risk for type 2 diabetes is provided in the NIDDK health topics:
                
- Am I at Risk for Type 2 Diabetes?  - Diabetes Prevention Program (DPP)  - Insulin Resistance and Prediabetes
                
Additional information about the DPP, funded under NIH clinical trial number NCT00004992, and the DPPOS, funded under NIH clinical trial number NCT00038727, can be found at www.bsc.gwu.edu/dpp.
                
As part of its Small Steps, Big Rewards campaign, the National Diabetes Education Program (NDEP) offers several booklets about preventing type 2 diabetes, including information about setting goals, tracking progress, implementing a walking program, and finding additional resources. These materials are available at www.ndep.nih.gov or by calling the NDEP at 1888693NDEP (18886936337)."
Diabetes,treatment,What are the treatments for Diagnosis of Diabetes and Prediabetes ?,"People can manage their diabetes with meal planning, physical activity, and if needed, medications. More information about taking care of type 1 or type 2 diabetes is provided in the NIDDK health topics:
                
- What I need to know about Diabetes Medicines  - What I need to know about Eating and Diabetes  - Your Guide to Diabetes: Type 1 and Type 2
                
These NDIC publications are available at http://www.niddk.nih.gov/health-information/health-topics/Diabetes/Pages/default.aspx or by calling 18008608747."
Diabetes,general,What to do for Diagnosis of Diabetes and Prediabetes ?,"- Tests used for diagnosing diabetes and prediabetes include the A1C testfor type 2 diabetes and prediabetesthe fasting plasma glucose (FPG) test, and the oral glucose tolerance test (OGTT). Another blood test, the random plasma glucose (RPG) test, is sometimes used to diagnose diabetes when symptoms are present during a regular health checkup.  - Anyone age 45 or older should consider getting tested for diabetes or prediabetes. People younger than 45 should consider testing if they are overweight or obese and have one or more additional risk factors for diabetes.  - If results of testing are normal, testing should be repeated at least every 3 years. Health care providers may recommend more frequent testing depending on initial results and risk status.  - People whose test results indicate they have prediabetes may be tested again in 1 year and should take steps to prevent or delay type 2 diabetes.  - Many people with prediabetes develop type 2 diabetes within 10 years.  - Modest weight loss and moderate physical activity can help people with prediabetes delay or prevent type 2 diabetes."
Diabetes,treatment,What are the treatments for Financial Help for Diabetes Care ?,"Diabetes management and treatment is expensive. According to the American Diabetes Association (ADA), the average cost of health care for a person with diabetes is $13,741 a yearmore than twice the cost of health care for a person without diabetes.1
                
Many people who have diabetes need help paying for their care. For those who qualify, a variety of government and nongovernment programs can help cover health care expenses. This publication is meant to help people with diabetes and their family members find and access such resources."
Diabetes,information,What is (are) Financial Help for Diabetes Care ?,"Health insurance helps pay for medical care, including the cost of diabetes care. Health insurance options include the following:
                
- private health insurance, which includes group and individual health insurance  - government health insurance, such as Medicare, Medicaid, the Childrens Health Insurance Program (CHIP), TRICARE, and veterans health care programs
                
Starting in 2014, the Affordable Care Act (ACA) prevents insurers from denying coverage or charging higher premiums to people with preexisting conditions, such as diabetes. The ACA also requires most people to have health insurance or pay a fee. Some people may be exempt from this fee. Read more about the ACA at HealthCare.gov or call 18003182596, TTY 18558894325."
Diabetes,general,What to do for Financial Help for Diabetes Care ?,"- Diabetes management and treatment is expensive. Many people who have diabetes need help paying for their care. For those who qualify, a variety of government and nongovernment programs can help cover health care expenses.  - Health insurance helps pay for medical care, including the cost of diabetes care. Health insurance options include private health insurance and government health insurance.  - Insurance companies sell private health insurance plans. Two types of private health insurance are group health insurance and individual health insurance.  - Medicare is a federal health insurance program that pays health care costs for eligible people who are age 65 or older, under age 65 with certain disabilities, or of any age with end-stage renal disease.  - Medicaid is a state health insurance program for those with low incomes and few assets. Each state runs its own program.  - The Childrens Health Insurance Program (CHIP) gives free or low-cost Medicaid to children whose parents earn too much for Medicaid, though not enough to pay for a health plan.  - Many local governments have public health departments that can help people who need medical care. Local resources such as charitable groups may offer financial help for some expenses related to diabetes.  - People should talk with their health care providers if they have problems paying for diabetes medications. Less expensive generic medications for diabetes, blood pressure, and cholesterol are available. If a health care provider prescribes medications that a person cannot afford, the person should ask the health care provider about cheaper alternatives.  - Health care providers may also be able to assist people who need help paying for their medications and diabetes testing supplies, such as glucose test strips, by providing free samples or referring them to local programs. Drug companies that sell insulin or diabetes medications often have patient assistance programs."
Diabetes,information,What is (are) I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,"Diabetes causes blood glucose levels to be above normal. People with diabetes have problems converting food to energy. After food is eaten, it is broken down into a sugar called glucose. Glucose is then carried by the blood to cells throughout the body. The hormone insulin, made in the pancreas, helps the body change blood glucose into energy. People with diabetes, however, either no longer make enough insulin, or their insulin doesn't work properly, or both.
                
Type 2 diabetes
                
Type 2 diabetes is the most common type in American Indians. This type of diabetes can occur at any age, even during childhood. People develop type 2 diabetes because the cells in the muscles, liver, and fat do not use insulin properly. Eventually, the body cannot make enough insulin. As a result, the amount of glucose in the blood increases while the cells are starved of energy. Over time, high blood glucose damages nerves and blood vessels, leading to problems such as heart disease, stroke, blindness, kidney failure, and amputation.
                
Other kinds of diabetes
                
Type 1 diabetes
                
Type 1 diabetes is rare in American Indians. People develop type 1 diabetes when their bodies no longer make any insulin. Type 1 is usually first diagnosed in children or young adults but can develop at any age.
                
Gestational diabetes
                
Gestational diabetes is first diagnosed during pregnancy. It occurs when the body doesn't use insulin properly. Having an American Indian family background raises the risk of developing gestational diabetes. Although this form of diabetes usually goes away after the baby is born, a woman who has had it is more likely to develop type 2 diabetes later in life."
Diabetes,symptoms,What are the symptoms of I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,"Many people have no visible signs or symptoms of diabetes. Symptoms can also be so mild that you might not notice them. More than 5 million people in the United States have type 2 diabetes and do not know it.
                
- increased thirst  - increased hunger   - fatigue   - increased urination, especially at night   - unexplained weight loss   - blurred vision   - sores that do not heal"
Diabetes,risk,Who is at risk for I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians? ?,"- My mother had diabetes when I was born.   - I am overweight.  - I have a parent, brother, or sister with diabetes.  - My family background is American Indian.  - I have had gestational diabetes, or I gave birth to at least one baby weighing more than 9 pounds.  - My blood pressure is 140/90 mmHg or higher, or I have been told that I have high blood pressure.  - My cholesterol levels are higher than normal. My HDL cholesterol""good"" cholesterolis below 35 mg/dL, or my triglyceride level is above 250 mg/dL.  - I am fairly inactive. I exercise fewer than three times a week."
Diabetes,information,What is (are) Insulin Resistance and Prediabetes ?,"Insulin is a hormone made in the pancreas, an organ located behind the stomach. The pancreas contains clusters of cells called islets. Beta cells within the islets make insulin and release it into the blood.
                
Insulin plays a major role in metabolismthe way the body uses digested food for energy. The digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose. Glucose is a form of sugar that enters the bloodstream. With the help of insulin, cells throughout the body absorb glucose and use it for energy.
                
Insulin's Role in Blood Glucose Control
                
When blood glucose levels rise after a meal, the pancreas releases insulin into the blood. Insulin and glucose then travel in the blood to cells throughout the body.
                
- Insulin helps muscle, fat, and liver cells absorb glucose from the bloodstream, lowering blood glucose levels.  - Insulin stimulates the liver and muscle tissue to store excess glucose. The stored form of glucose is called glycogen.  - Insulin also lowers blood glucose levels by reducing glucose production in the liver.
                
In a healthy person, these functions allow blood glucose and insulin levels to remain in the normal range."
Diabetes,susceptibility,What causes Insulin Resistance and Prediabetes ?,"Although the exact causes of insulin resistance are not completely understood, scientists think the major contributors to insulin resistance are excess weight and physical inactivity.
                
Excess Weight
                
Some experts believe obesity, especially excess fat around the waist, is a primary cause of insulin resistance. Scientists used to think that fat tissue functioned solely as energy storage. However, studies have shown that belly fat produces hormones and other substances that can cause serious health problems such as insulin resistance, high blood pressure, imbalanced cholesterol, and cardiovascular disease (CVD).
                
Belly fat plays a part in developing chronic, or long-lasting, inflammation in the body. Chronic inflammation can damage the body over time, without any signs or symptoms. Scientists have found that complex interactions in fat tissue draw immune cells to the area and trigger low-level chronic inflammation. This inflammation can contribute to the development of insulin resistance, type 2 diabetes, and CVD. Studies show that losing the weight can reduce insulin resistance and prevent or delay type 2 diabetes.
                
Physical Inactivity
                
Many studies have shown that physical inactivity is associated with insulin resistance, often leading to type 2 diabetes. In the body, more glucose is used by muscle than other tissues. Normally, active muscles burn their stored glucose for energy and refill their reserves with glucose taken from the bloodstream, keeping blood glucose levels in balance.
                
Studies show that after exercising, muscles become more sensitive to insulin, reversing insulin resistance and lowering blood glucose levels. Exercise also helps muscles absorb more glucose without the need for insulin. The more muscle a body has, the more glucose it can burn to control blood glucose levels.
                
Other Causes
                
Other causes of insulin resistance may include ethnicity; certain diseases; hormones; steroid use; some medications; older age; sleep problems, especially sleep apnea; and cigarette smoking.
                

                
Does sleep matter?   Yes. Studies show that untreated sleep problems, especially sleep apnea, can increase the risk of obesity, insulin resistance, and type 2 diabetes. Night shift workers may also be at increased risk for these problems. Sleep apnea is a common disorder in which a person's breathing is interrupted during sleep. People may often move out of deep sleep and into light sleep when their breathing pauses or becomes shallow. This results in poor sleep quality that causes problem sleepiness, or excessive tiredness, during the day.   Many people aren't aware of their symptoms and aren't diagnosed. People who think they might have sleep problems should talk with their health care provider.   More information about sleep problems is available from the National Heart, Lung, and Blood Institute at http://www.nhlbi.nih.gov/health/resources/sleep."
Diabetes,symptoms,What are the symptoms of Insulin Resistance and Prediabetes ?,"Insulin resistance and prediabetes usually have no symptoms. People may have one or both conditions for several years without knowing they have them. Even without symptoms, health care providers can identify people at high risk by their physical characteristics, also known as risk factors. The section ""Who should be tested for prediabetes?"" lists these risk factors.
                
People with a severe form of insulin resistance may have dark patches of skin, usually on the back of the neck. Sometimes people have a dark ring around their neck. Dark patches may also appear on elbows, knees, knuckles, and armpits. This condition is called acanthosis nigricans."
Diabetes,general,How to diagnose Insulin Resistance and Prediabetes ?,"Health care providers use blood tests to determine whether a person has prediabetes, but they do not usually test specifically for insulin resistance. Insulin resistance can be assessed by measuring the level of insulin in the blood.
                
However, the test that most accurately measures insulin resistance, called the euglycemic clamp, is too costly and complicated to be used in most health care providers' offices. The clamp is a research tool used by scientists to learn more about glucose metabolism. Research has shown that if blood tests indicate prediabetes, insulin resistance most likely is present.
                
Blood Tests for Prediabetes
                
All blood tests involve drawing blood at a health care provider's office or commercial facility and sending the sample to a lab for analysis. Lab analysis of blood is needed to ensure test results are accurate. Glucose measuring devices used in a health care provider's office, such as finger-stick devices, are not accurate enough for diagnosis but may be used as a quick indicator of high blood glucose.
                
Prediabetes can be detected with one of the following blood tests:
                
- the A1C test  - the fasting plasma glucose (FPG) test  - the oral glucose tolerance test (OGTT)
                
A1C test. Sometimes called hemoglobin A1c, HbA1c, or glycohemoglobin test, this test reflects average blood glucose levels over the past 3 months. This test is the most reliable test for prediabetes, but it is not as sensitive as the other tests. In some individuals, it may miss prediabetes that could be caught by glucose tests.
                
Although some health care providers can quickly measure A1C in their office, that type of measurementcalled a point-of-care testis not considered reliable for diagnosis. For diagnosis of prediabetes, the A1C test should be analyzed in a laboratory using a method that is certified by the NGSP.
                
The A1C test can be unreliable for diagnosing prediabetes in people with certain conditions that are known to interfere with the results. Interference should be suspected when A1C results seem very different from the results of a blood glucose test. People of African, Mediterranean, or Southeast Asian descent, or people with family members with sickle cell anemia or a thalassemia, are particularly at risk of interference. People in these groups may have a less common type of hemoglobin, known as a hemoglobin variant, that can interfere with some A1C tests.
                
An A1C of 5.7 to 6.4 percent indicates prediabetes.
                
More information about the A1C test is provided in the NIDDK health topic, The A1C Test and Diabetes.
                
Fasting plasma glucose test. This test measures blood glucose in people who have not eaten anything for at least 8 hours. This test is most reliable when done in the morning. Prediabetes found with this test is called IFG.
                
Fasting glucose levels of 100 to 125 mg/dL indicate prediabetes.
                
OGTT. This test measures blood glucose after people have not eaten for at least 8 hours and 2 hours after they drink a sweet liquid provided by a health care provider or laboratory. Prediabetes found with this test is called IGT.
                
A blood glucose level between 140 and 199 mg/dL indicates prediabetes.
                
The following table lists the blood test levels for a diagnosis of prediabetes."
Diabetes,general,What to do for Insulin Resistance and Prediabetes ?,"Adopting healthy eating habits can help people lose a modest amount of weight and reverse insulin resistance. Experts encourage people to slowly adopt healthy eating habits that they can maintain, rather than trying extreme weight-loss solutions. People may need to get help from a dietitian or join a weight-loss program for support.
                
In general, people should lose weight by choosing healthy foods, controlling portions, eating less fat, and increasing physical activity. People are better able to lose weight and keep it off when they learn how to adapt their favorite foods to a healthy eating plan.
                
The DASH (Dietary Approaches to Stop Hypertension) eating plan, developed by the NIH, has been shown to be effective in decreasing insulin resistance when combined with weight loss and physical activity. More information on DASH is available at www.nhlbi.nih.gov/health/health-topics/topics/dash.
                
The U.S. Dietary Guidelines for Americans also offers healthy eating advice and tools for changing eating habits at www.choosemyplate.gov.
                
Dietary Supplements
                
Vitamin D studies show a link between people's ability to maintain healthy blood glucose levels and having enough vitamin D in their blood. However, studies to determine the proper vitamin D levels for preventing diabetes are ongoing; no special recommendations have been made about vitamin D levels or supplements for people with prediabetes.
                
Currently, the Institute of Medicine (IOM), the agency that recommends supplementation levels based on current science, provides the following guidelines for daily vitamin D intake:
                
- People ages 1 to 70 years may require 600 International Units (IUs).  - People ages 71 and older may require as much as 800 IUs.
                
The IOM also recommended that no more than 4,000 IUs of vitamin D be taken per day.
                
To help ensure coordinated and safe care, people should discuss use of complementary and alternative medicine practices, including the use of dietary supplements, with their health care provider.
                
More information about using dietary supplements to help with diabetes is provided in the NIDDK health topic, Complementary and Alternative Medical Therapies for Diabetes.
                

                
Physical Activity
                
Regular physical activity tackles several risk factors at once. Regular physical activity helps the body use insulin properly.
                
Regular physical activity also helps a person
                
- lose weight  - control blood glucose levels  - control blood pressure  - control cholesterol levels
                
People in the DPP who were physically active for 30 minutes a day, 5 days a week, reduced their risk of type 2 diabetes. Many chose brisk walking as their physical activity.
                
Most people should aim for at least 30 minutes of exercise most days of the week. For best results, people should do both aerobic activities, which use large muscle groups and make the heart beat faster, and muscle strengthening activities.
                
Aerobic activities include brisk walking, climbing stairs, swimming, dancing, and other activities that increase the heart rate.
                
Muscle strengthening activities include lifting weights and doing sit-ups or push-ups.
                
People who haven't been physically active recently should talk with their health care provider about which activities are best for them and have a checkup before starting an exercise program.
                
Not Smoking
                
Those who smoke should quit. A health care provider can help people find ways to quit smoking. Studies show that people who get help have a better chance of quitting.
                
For more information about how to reverse insulin resistance and prediabetes with diet and increased physical activity, see the following National Diabetes Education Program publications at www.yourdiabetesinfo.org:    - Get Real! You Don't Have to Knock Yourself Out to Prevent Diabetes!   - More Than 50 Ways to Prevent Diabetes   - Small Steps. Big Rewards. Your Game Plan to Prevent Type 2 Diabetes.
                
Medication
                
The medication metformin is recommended for treatment of some individuals at very high risk of developing type 2 diabetes. In the DPP, metformin was shown to be most effective in preventing or delaying the development of type 2 diabetes in younger, heavier people with prediabetes. In general, metformin is recommend for those who are younger than age 60 and have
                
- combined IGT and IFG  - A1C above 6 percent  - low HDL cholesterol  - elevated triglycerides  - a parent or sibling with diabetes  - a BMI of at least 35
                
Metformin also lowers the risk of diabetes in women who have had gestational diabetes. People at high risk should ask their health care provider if they should take metformin to prevent type 2 diabetes.
                
Several medications have been shown to reduce type 2 diabetes risk to varying degrees, but the only medication recommended by the ADA for type 2 diabetes prevention is metformin. Other medications that have delayed diabetes have side effects or haven't shown long-lasting benefits. No medication, including metformin, is approved by the U.S. Food and Drug Administration to treat insulin resistance or prediabetes or to prevent type 2 diabetes."
